,title,company,salary,summary,location,link
0,Blockchain Developer,5ivetech,,"Computer Science or a degree in a related field.
 Advanced proficiency in programming languages, such as C++, Java, SOLIDITY.",London,https://uk.indeed.com/rc/clk?jk=7ea914625816b5b1&fccid=471aa8a3dc369116&vjs=3
1,C# Developer with Blockchain Experience,5ivetech,£450 - £650 a week,Net Engineers with no payment systems experience are welcomed to apply as long as C# Developers have blockchain experience.,London,https://uk.indeed.com/rc/clk?jk=dbbe3f615507fb4a&fccid=471aa8a3dc369116&vjs=3
2,newBlockchain Software Engineer - CIB Markets,"JPMorgan Chase Bank, N.A.",,"Understanding of cryptographic protocols and blockchain implementations.
Work within a team with decades of Markets experience, looking to transform the…",London,https://uk.indeed.com/rc/clk?jk=47b8a158ed0b1b59&fccid=aaf3b433897ea465&vjs=3
3,Software Developer Apprenticeship Level 4,Accurx Limited,,"Software developers are the creative minds behind computer programs.
Monday to Friday Flexible working including core hours (between 9am -5pm) and up to 2 days…",London N1 5AA,https://uk.indeed.com/rc/clk?jk=f86109884aed1f1b&fccid=a800edb8a12e7c58&vjs=3
4,"Consultant- Senior Consultant, Full Stack Developer, Deloitt...",Deloitte,,"Including: customer and channel strategy, customer experience design, designing new service capabilities and operations, mobile, online and contact centre…",London,https://uk.indeed.com/rc/clk?jk=afa11b6b45a8ec09&fccid=9e215d88a6b33622&vjs=3
5,Blockchain Senior Backend Developer (Golang) - Remote,"HAL Collective, Inc","£110,000 a year","Previous retreats include Sardinia (Italy) and Lisbon (Portugal).
Candidates in EU time zones are preferred.
Experience with crypto - DeFi, NFTs, DAOs...",London•Remote,"https://uk.indeed.com/company/HAL-Collective,-Inc/jobs/Blockchain-Senior-Backend-Developer-39a08f7281250045?fccid=734623aba8b7a021&vjs=3"
6,Blockchain Engineer,Fidelity International,,"Have at least 2-3 years of experience as a blockchain developer.
Knowledge of cryptography and blockchain protocols especially Ethereum.",Tadworth,https://uk.indeed.com/rc/clk?jk=bbbc148ec9fd4c4a&fccid=b968b58ad5fb8d16&vjs=3
7,Blockchain Engineeer - R&D,Halian,,"Our client is used by exchanges, custodians, enterprises, financial institutions and 10k+ developers to connect commercial stakeholders to blockchains.",London,https://uk.indeed.com/rc/clk?jk=28c9f37434ddff90&fccid=36028905bb7e7da7&vjs=3
8,newBackend Developer,Vector Recruitment Limited,"£40,000 - £60,000 a year",Help scale microservices to millions of users and secure backend services and blockchains against a range of attack vector.,London,https://uk.indeed.com/rc/clk?jk=920b561809e0e476&fccid=71e95318118dad97&vjs=3
9,Developer Advocate,IBM,,"To think along with clients and sell.
The main objective of an SDR is to qualify and move leads into the sales funnel by setting up demos for our Account…",London,https://uk.indeed.com/rc/clk?jk=1281bfce30d0e24b&fccid=de71a49b535e21cb&vjs=3
10,"Consultant - Senior Consultant, Scala Developer, Public Sect...",Deloitte,,"Including: customer and channel strategy, customer experience design, designing new service capabilities and operations, mobile, online and contact centre…",London,https://uk.indeed.com/rc/clk?jk=89b96b5e71b5b21b&fccid=9e215d88a6b33622&vjs=3
11,newPancakeSwap - Blockchain Front-end developer - Remote,Pancakeswap,"£120,000 - £160,000 a year","Design, scope, and estimate complex frontend products/upgrades.
Envision and develop features to help grow PancakeSwap.
Solid experience in React JS.",London•Remote,https://uk.indeed.com/company/Pancakeswap/jobs/-511d105fa4001438?fccid=734623aba8b7a021&vjs=3
12,"Consultant,Senior Consultant, Manager, Java Developer, Deloi...",Deloitte,,"Including: customer and channel strategy, customer experience design, designing new service capabilities and operations, mobile, online and contact centre…",London,https://uk.indeed.com/rc/clk?jk=0b0010b9ca40cc93&fccid=9e215d88a6b33622&vjs=3
